Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Christian Bethancourt","OAK","AAA",30,21,0.0952381,0.19047619,0.5,0.26315789,0.33333333,0.68421053,1.01754386,0.42105264,0.767857142857143,0.23076923,-0.013631389942020178,4.211701201854579,1.1225504750593822,0.40786761896950857,136.33848181386603,"10028"
"Chris Owings","NYY","AAA",30,208,0.08653846,0.25,0.34615385,0.23529412,0.30288462,0.41176471,0.71464933,0.17647059,5.170947101426512,0.27906977,-0.2726007988676429,23.873355599736968,-3.4500036512853742,0.3152666106246985,87.37342791715376,"10030"
"Wil Myers","SDP","A,AAA",31,58,0.0862069,0.20689655,0.41666667,0.26415094,0.32758621,0.52830189,0.8558881,0.26415095,1.184523830357143,0.27027027,-0.06247009942308068,9.230128868504666,0.6697487076961026,0.36631195915156395,107.60754619803353,"10047"
"Max Stassi","LAA","A",31,8,0,0.25,0,0.375,0.375,0.875,1.25,0.5,2.642857142857143,0.4,-0.005223945248872042,2.3656093813075856,1.177414033521636,0.5220155045390129,199.0926311667182,"10059"
"Tomas Telis","LAD","AAA",31,313,0.09584665,0.09904153,0.96774194,0.28727273,0.36538462,0.34181818,0.7072028,0.05454545,1.3870160178571431,0.31557377,-0.4680110546760261,39.62818621823642,-6.414869852568173,0.328000107445778,86.06767143626729,"10067"
"Jonathan Villar","SEA","AAA",31,155,0.06451613,0.21935484,0.29411765,0.28275862,0.32903226,0.49655172,0.82558398,0.2137931,7.415980568976101,0.33333333,0.30503962840884924,22.91603354150022,0.11515912944043373,0.3509374472402757,100.50506453111959,"10071"
"Billy Hamilton","SEA","AAA",31,106,0.09433962,0.29245283,0.32258065,0.1875,0.26415094,0.22916667,0.49331761,0.04166667,6.340370380719232,0.27692308,0.8878742638044059,4.421221620448394,-10.998493202916816,0.23613894604287058,29.18309795832682,"10199"
"Danny Santana","BOS","CPX",31,25,0.16,0.2,0.8,0.28571429,0.4,0.38095238,0.78095238,0.09523809,1.392857142857143,0.375,-0.013082378543913364,4.2252776705864585,0.8857687496784847,0.3870705032348633,126.52392224895313,"10322"
"Jon Singleton","MIL","AAA",30,581,0.20137694,0.27710843,0.72670807,0.21929825,0.37521515,0.43421053,0.80942568,0.21491228,3.606747526044958,0.27338129,-1.1447817021980882,90.41431266879113,14.092813991656618,0.3634710419794609,118.46506454396807,"10441"
"Enrique Hernandez","BOS","AA,AAA",30,17,0.05882353,0.35294118,0.16666667,0.1875,0.23529412,0.3125,0.54779412,0.125,0.142857142857143,0.3,-0.013162337243556976,0.9667853397983146,-1.1919831650597024,0.24396533124587116,50.265017084124764,"10472"
"Derek Dietrich","NYY","AA,AAA",32,231,0.06926407,0.27705628,0.25,0.26262626,0.35217391,0.51515152,0.86732543,0.25252526,3.246305392857143,0.33070866,-0.37541307508945465,38.53432957698432,8.63025896121589,0.3764264482518901,129.86848572433607,"10542"
"David Freitas","NYY","AAA",33,127,0.09448819,0.18110236,0.52173913,0.23893805,0.30952381,0.34513274,0.65465655,0.10619469,0.7002895803571431,0.28089888,-0.23617127444595098,12.696152470142106,-3.9868601494724945,0.29779183344235494,76.1022769665411,"10619"
"Carlos Perez","COL","AAA",31,522,0.10344828,0.19157088,0.54,0.25438596,0.34099617,0.52412281,0.86511898,0.26973685,1.996274392857143,0.25835866,-0.536168004386127,83.8197652923284,7.032304369133515,0.36468498231807434,109.1581415566891,"10642"
"Rob Brantly","NYY","AAA",32,201,0.05472637,0.15920398,0.34375,0.26923077,0.33333333,0.35164835,0.68498168,0.08241758,3.6883492091594388,0.32,-0.2190135484561324,22.827054645287344,-3.5767684770948205,0.3138405049025123,86.45359628218824,"10655"
"Ryan LaMarre","NYY","AAA",33,186,0.11290323,0.22580645,0.5,0.29677419,0.40860215,0.45806452,0.86666667,0.16129033,5.233071382350591,0.37614679,0.02074121218174696,33.316230529642034,8.882841968631672,0.3912081039080056,136.35534197989423,"10700"
"Corey Dickerson","STL","AAA",33,14,0.07142857,0.14285714,0.5,0.30769231,0.35714286,0.61538462,0.97252748,0.30769231,1.080357142857143,0.3,-0.022855284623801708,2.7752538995871014,0.9361816423067517,0.41376603501183645,150.90510384247722,"10762"
"Andrelton Simmons","CHC","AAA",32,50,0.08,0.26,0.30769231,0.13333333,0.22,0.2,0.42,0.06666667,2.8258541210748236,0.16129032,-0.7907189670950174,1.014921582312745,-5.553193622259933,0.20376011371612548,15.452250009350683,"10847"
"Phil Gosselin","ATL","AAA",33,204,0.07843137,0.19607843,0.4,0.2967033,0.35784314,0.47252747,0.83037061,0.17582417,5.992398760915429,0.35,0.3962233169004321,31.85952711673308,5.061617082076553,0.36412692157661214,118.88810386903528,"10953"
"Kevin Kiermaier","TBR","CPX",32,3,0.33333333,0,1,0,0.33333333,0,0.33333333,0,2.642857142857143,0,-0.0016352973179891706,0.20273535796674988,-0.19800571254220703,0.2573212782541911,50.5901123908433,"11038"
"Elliot Soto","MIN","AAA",32,344,0.11627907,0.22383721,0.51948052,0.22259136,0.31976744,0.34219269,0.66196013,0.11960133,6.374703666431576,0.28636364,0.702784713357687,36.481621240599566,-8.707011366860455,0.3049695245748342,80.73185475095998,"11155"
"Kole Calhoun","TEX","AAA",34,13,0.23076923,0.30769231,0.75,0.3,0.46153846,0.4,0.86153846,0.1,1.601190455357143,0.5,-0.022718983236700296,2.5634649663950695,0.6511335640932812,0.404230535030365,134.04920105947852,"11200"
"Jonathan Schoop","DET","A+,AAA",30,20,0.2,0,4,0.3125,0.45,0.4375,0.8875,0.125,0.906746017857143,0.3125,-0.055679439567029476,3.826999564179763,1.266727570900306,0.4107874006032944,151.22789473202744,"11265"
"Adrian Sanchez","WSN","AAA",31,262,0.06870229,0.19465649,0.35294118,0.23868313,0.29118774,0.34979424,0.64098198,0.11111111,5.425776253347534,0.29473684,-0.27628088649362326,24.115906944426072,-10.301016727534757,0.28843925761993816,70.06990855511323,"11338"
"Jake Marisnick","PIT","AAA",31,105,0.04761905,0.2952381,0.16129032,0.23958333,0.3047619,0.32291667,0.62767857,0.08333334,7.393237754866246,0.34375,0.737035115249455,9.727654806994277,-4.065387122608347,0.28914608955383303,70.52581190315087,"11339"
"Yasmani Grandal","CHW","AA,AAA",33,51,0.29411765,0.07843137,3.75,0.38888889,0.56862745,0.66666667,1.23529412,0.27777778,0.479395580357143,0.37931034,-0.19417220447212458,15.26603245570201,8.567674426574891,0.534769712709913,227.91722906834283,"11368"
"Delino DeShields","ATL","AAA",29,426,0.17840376,0.27230047,0.65517241,0.21958457,0.36729858,0.26409496,0.63139354,0.04451039,5.603594114591184,0.32589286,0.8882425148040056,47.56663697890447,-8.393704564054742,0.3115878116463033,85.00061948762209,"11379"
"Ronald Torreyes","PHI","AAA",29,38,0.07894737,0.05263158,1.5,0.17142857,0.23684211,0.2,0.43684211,0.02857143,2.642857142857143,0.18181818,-0.06094742566347122,0.9744993492219514,-4.017268206253283,0.21007005007643448,19.522129954810673,"11400"
"Tony Wolters","LAD","AAA",30,234,0.11111111,0.24786325,0.44827586,0.23039216,0.32051282,0.28431373,0.60482655,0.05392157,2.315802330357143,0.31756757,-0.29534678207710385,20.423970446776167,-13.997994794656023,0.2855273057252933,59.33412082524777,"11470"
"Dixon Machado","CHC","AAA",30,522,0.10153257,0.12260536,0.828125,0.29067245,0.37164751,0.39045553,0.76210304,0.09978308,4.080072914754623,0.32653061,-0.5153538915328681,73.73774378866776,3.104666450329871,0.34713032476289973,105.69000967930963,"11472"
