Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
ARI,A,2022.0,21.21,26.88,9.81,7.27,2.0,1.07,0.22,0.15,0.07,0.3,2.06,0.37,0.59,6.91,6.27,0.65,6.21
ARI,A+,2022.0,22.91,35.11,11.03,5.06,2.89,0.74,0.28,0.12,0.16,0.22,1.37,0.3,0.69,4.51,4.3,0.22,4.59
ARI,AA,2022.0,24.32,29.17,8.22,5.23,2.62,3.16,0.19,0.11,0.08,0.31,1.98,0.34,0.67,9.53,8.56,0.97,6.17
ARI,AAA,2022.0,26.76,31.06,9.0,4.04,2.5,1.33,0.23,0.1,0.13,0.26,1.5,0.32,0.72,5.0,5.28,-0.28,5.52
ARI,CPX,2022.0,22.43,10.68,11.81,5.01,2.93,1.16,0.28,0.11,0.17,0.25,1.77,0.35,0.68,6.49,5.4,1.09,4.74
ARI,DSL,2022.0,18.66,14.09,8.68,9.08,2.29,0.65,0.2,0.18,0.02,0.25,2.05,0.32,0.66,7.82,6.46,1.37,6.22
ATL,A,2022.0,22.03,32.49,10.6,4.83,2.81,0.64,0.27,0.11,0.16,0.23,1.47,0.32,0.67,5.16,4.2,0.95,4.29
ATL,A+,2022.0,24.32,35.94,11.87,4.57,3.86,0.97,0.31,0.1,0.2,0.22,1.35,0.31,0.75,4.55,4.22,0.33,4.07
ATL,AA,2022.0,25.32,41.88,10.18,3.89,2.83,0.98,0.26,0.1,0.16,0.24,1.38,0.32,0.7,4.41,4.16,0.25,4.28
ATL,AAA,2022.0,27.28,31.72,10.57,3.52,3.49,0.97,0.28,0.09,0.19,0.23,1.27,0.3,0.72,4.16,4.0,0.16,4.07
ATL,CPX,2022.0,22.27,9.87,9.32,7.91,2.57,0.55,0.23,0.12,0.11,0.19,1.74,0.25,0.65,7.92,6.09,2.02,6.2
ATL,DSL,2022.0,18.19,22.86,8.9,6.24,2.1,0.35,0.21,0.13,0.07,0.22,1.54,0.3,0.74,3.87,5.2,-1.33,5.33
BAL,A,2022.0,21.59,22.82,9.14,8.18,1.9,0.67,0.22,0.17,0.05,0.27,1.9,0.34,0.64,6.79,5.81,0.98,6.07
BAL,A+,2022.0,24.1,28.54,11.12,3.61,3.68,0.66,0.31,0.09,0.22,0.19,1.13,0.27,0.75,3.21,3.51,-0.3,3.76
BAL,AA,2022.0,24.69,30.4,10.37,3.66,3.46,1.21,0.28,0.09,0.19,0.22,1.25,0.29,0.7,4.54,4.22,0.32,3.87
