Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Mike Minor","CIN","AAA",34,16,11.25,0.5625,20,1.6875,0.30769231,0.01538462,0.29230769,0.234375,1,0.29268293,0.76271186,3.375,3.632637691497803,-0.2576376914978029,3.159006341174245,"10021"
2022,"Mike Minor","CIN","AA",34,1.2,5.399989314100431,5.399989314100431,1,10.799978628200861,0.08333333,0.08333333,0,0.5,3.599992876066954,0.42857143,0.23809524,32.399935884602584,21.5822700024356,10.817665882166985,11.706971374815524,"10021"
2022,"Tyler Matzek","ATL","AAA",31,2,22.5,0,5,0,0.83333333,0,0.83333333,0,0,0,1,0,-1.492362308502197,1.492362308502197,-0.6654702454805372,"10058"
2022,"Ian Krol","SDP","AAA",31,25.1,11.72368568165499,6.039474442064692,1.94117647,2.131579214846362,0.2704918,0.13934426,0.13114754,0.30392157,1.8947370798634329,0.3968254,0.70422535,7.460527251962267,6.697398130781478,0.7631291211807891,5.456535557499754,"10066"
2022,"Sonny Gray","MIN","A",32,3,15,0,5,0,0.45454545,0,0.45454545,0.09090909,0.3333333333333333,0.16666667,1,0,0.1871255556742355,-0.1871255556742355,,"12768"
2022,"Andrew Vasquez","TOR","CPX",28,1,27,0,3,0,1,0,1,0,0,0,1,0,-2.1747158050537108,2.1747158050537108,,"19482"
2022,"Anthony Bender","MIA","CPX",27,1,27,0,3,0,1,0,1,0,0,0,1,0,-2.1747158050537108,2.1747158050537108,,"19742"
2022,"Caleb Thielbar","MIN","AAA",35,1,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,0,1.507637691497803,-1.507637691497803,3.1614218175411226,"10078"
2022,"Stephen Strasburg","WSN","A",33,7.2,10.565213010533785,5.86956278362988,1.8,0,0.29032258,0.16129032,0.12903226,0.11538462,1.0434778282008677,0.17647059,0.625,3.521737670177928,3.454887172990959,0.066850497186969,4.69808629879954,"10131"
2022,"Stephen Strasburg","WSN","AAA",33,6,6,1.5,4,0,0.2,0.05,0.15,0.05263158,0.3333333333333333,0.06666667,1,0,2.67430435816447,-2.67430435816447,4.603719171881677,"10131"
